2014,2015,2016,2017,name
572795464,645331754,524961956,464185914,A
3124304404,2911725962,2309937781,1473813766,AAL
200390646,266943089,260856103,417078017,AAP
15934013092,13068421452,9686251480,6797072145,AAPL
2303234955,2643033869,2020995040,1500433970,ABBV
426892559,516230562,641878654,449265614,ABC
1513941720,1469323607,2285826287,1656585715,ABT
703881282,625667611,644169334,528827003,ACN
847261496,705457871,712117449,620042314,ADBE
552784464,635265157,612051267,739169263,ADI
899932216,998237181,901322388,757533854,ADM
432530663,475937123,479241479,702756127,ADP
178652071,108114077,198185468,147526245,ADS
640358764,662218891,555121159,533548988,ADSK
414604046,419976273,445445379,353935538,AEE
682384581,709564495,699586617,579238065,AEP
1288462995,1540696313,1337418727,1361508964,AES
610900960,733005694,682549147,651736484,AET
504600546,540280065,527144917,442442023,AFL
636312887,827786506,1037696099,732199834,AGN
2094531302,2092664692,1799662919,1452382672,AIG
310672907,316028823,329607393,265343905,AIV
139006737,153806598,138163456,99275106,AIZ
210246041,252437231,307153953,224046792,AJG
511003003,447929055,586120398,569457936,AKAM
243180162,365758239,340997168,293645366,ALB
237432027,199904921,195024792,255718272,ALGN
372719952,347781027,387140160,372825882,ALK
607721724,681300192,550055813,459854124,ALL
194455513,164949212,183618564,172310195,ALLE
343587828,417719755,515583690,569706877,ALXN
3378327833,4312906237,3252206358,2533074665,AMAT
5983316677,3444500704,7739018950,16355699307,AMD
251521804,314243005,447838934,331871490,AME
121111459,107742247,146082899,100388887,AMG
898117252,893430721,862889117,796503603,AMGN
249144712,302482269,318964367,253676185,AMP
500030288,598560185,558754694,497049863,AMT
1030203688,957259202,1038805155,881017394,AMZN
732394222,641828567,583483044,481264058,ANDV
113918322,95976789,123408702,135971025,ANSS
532030194,499155827,440515684,399026968,ANTM
363328586,307756343,286122358,274020294,AON
303949232,329598966,349894173,245759806,AOS
865025217,1126091561,1093866486,902664141,APA
1253056935,1259432407,1580531202,1267526185,APC
345415124,302812981,371594623,315030332,APD
301088411,286799273,351345194,285338068,APH
104801590,99835229,141589637,181945410,ARE
1720482792,2149721327,2038972982,1018948627,ARNC
1812341379,1926729439,2283907979,1675405807,ATVI
209987882,191142615,201677763,168301097,AVB
604682866,796502406,807680901,701100390,AVGO
212613432,198365086,198834572,164894607,AVY
176273560,221928438,357338570,214827043,AWK
959750089,1605298549,1400325243,895277309,AXP
105106145,104344043,120937391,176500784,AYI
65455893,67169768,74986702,115812847,AZO
1093890667,986545341,1105685839,823776509,BA
21596355815,21277893728,27334962763,19779231722,BAC
708444674,1469587298,1480528975,669948538,BAX
926432241,1053608305,1255096882,1086447221,BBT
1695666371,1251638397,1366045572,1101949791,BBY
251364895,279736036,255822377,330725321,BDX
502859793,702751423,837379588,557504050,BEN
223045324,306465460,307119917,228524659,BF.B
368702823,551794477,458773009,363021624,BIIB
1342831255,1497088978,1482949438,1139544764,BK
156000992,164888100,173891246,130095640,BLK
489660534,560483232,793775638,609950294,BLL
1943185434,1654420973,2315084933,2064052398,BMY
876400700,907626787,933902668,845687738,BRK.B
3033892142,2555918073,2406404186,1767271053,BSX
383666819,509504498,621593108,446225276,BWA
196738084,202457604,199545468,173606063,BXP
5178361276,4644856218,5570855417,4227535414,C
701326940,734987376,679208357,621901910,CA
873144729,804687503,765340910,872203133,CAG
516264151,541846968,624228273,622888620,CAH
1258228898,1574296588,1376808001,1087503935,CAT
350615819,477731268,443628368,352691023,CB
501663345,479690124,731190776,490809133,CBG
166778044,160031946,157138953,278320973,CBOE
2180924061,1328700500,1118877374,1036758639,CBS
651675390,584790919,623793878,580873899,CCI
997131024,1016847771,1222343975,790686858,CCL
793269329,836427846,636018994,589878060,CDNS
1448515548,1294917743,1247411177,1210912895,CELG
440757699,518625230,617722107,586207960,CERN
1008271875,756106696,1302913522,1104735278,CF
174951305,1240846003,1739091158,1175718764,CFG
351458518,380237776,448255296,432233202,CHD
2564153984,5359661286,11660994934,8495789179,CHK
413705334,430500059,380719500,380658025,CHRW
300719010,359486523,614521797,427616740,CHTR
430385186,506292007,362154346,337444691,CI
148031929,152362686,162788340,130822306,CINF
796438448,817993260,831709484,887744984,CL
282984232,223438958,268429509,202765723,CLX
386338686,535755329,640924205,423257118,CMA
7454569966,7071640814,5145888192,5103769015,CMCSA
418167953,384846112,416546400,345186561,CME
119327271,177308784,319522039,292217540,CMG
369151865,493753626,472818930,321808079,CMI
589850510,682920041,553768595,458208460,CMS
367087608,399168506,542757535,420239425,CNC
1016224862,1034352745,1061218865,710526177,CNP
758014743,726754143,912936772,646170843,COF
1592921019,1592263068,1796720846,1463254936,COG
200330464,199903316,244386443,442011546,COL
133453338,119292156,123373674,107456602,COO
1566676082,2110003541,2527594841,1760914614,COP
525698181,540530796,606273238,772568380,COST
227502743,357390704,1232061711,1378794222,COTY
324162612,401050950,511576407,515315848,CPB
1385713389,1046620067,1450647695,1104081274,CRM
8276154232,6829954140,6254316723,5074159153,CSCO
1680193862,2160461624,2068801903,2172680868,CSX
152888065,160240715,175562650,139029605,CTAS
1108233459,1225567445,1629635134,2812721002,CTL
1093056088,883438904,1283351167,995859813,CTSH
665128411,465751122,367355182,422079410,CTXS
1174533582,1222036428,1470005526,1763867103,CVS
1646123511,2331649586,2030328369,1397627301,CVX
334900334,420924175,449085487,315815088,CXO
617173500,652697467,716738781,583591204,D
3261115064,2714834602,2598453565,1935104352,DAL
799967899,785626807,824053623,589980872,DE
662827268,894595313,787239460,655631889,DFS
1203830152,923550368,822411980,710672922,DG
467804732,338750351,278123828,254537812,DGX
1526362167,1360234034,1118335238,999698410,DHI
719656458,806555139,767792236,651199718,DHR
1685054400,2102199823,2048628105,1859684914,DIS
611079959,970974912,830468324,1016646073,DISCA
338107243,547768498,462049536,628550443,DISCK
585905420,393310653,624220397,658902997,DISH
334631769,296548711,431031038,316098785,DLR
627788123,759030875,645576667,678411771,DLTR
339374968,429726134,372753180,301779255,DOV
418632314,318715564,342874651,299070667,DPS
568282813,608932202,664766858,667518352,DRE
397400044,397630749,477757557,407715436,DRI
269220362,274416414,275656200,219654019,DTE
788054253,876568614,830061835,650781770,DUK
291150472,299122503,381484115,415303626,DVA
884936442,1129054937,2354410153,1189686950,DVN
1066767981,859443640,907214910,743345889,EA
3110521116,2762069494,2885401694,2223207639,EBAY
269091731,325700529,282488345,236510784,ECL
569220741,556713713,505020330,380134708,ED
137623375,156217937,190301212,357910097,EFX
534648051,573066228,467672618,495779087,EIX
483931440,469303773,425506889,474779150,EL
355160547,372661402,347294599,286080810,EMN
823289431,1242506692,986245381,849656565,EMR
1087461115,1177646525,971918086,763518756,EOG
188572576,199014505,181975322,122728888,EQIX
469869806,436104914,568380586,426273086,EQR
386321431,390872234,475016852,778444663,EQT
412548900,377189851,433042678,360614193,ES
1182202046,1036942689,1096754942,1030869091,ESRX
119595183,88530378,110350235,87546289,ESS
980816797,819235394,899622452,671986771,ETFC
758179830,784355956,713529359,575472843,ETN
435030410,354438275,347977734,306119873,ETR
560830810,535363499,477752981,407068839,EW
1820630100,1911261163,1531680458,1230471631,EXC
364192452,364436226,362091080,279370730,EXPD
538543685,510705018,598483539,512241857,EXPE
181723718,235554032,293447477,250827055,EXR
7868209373,6993124622,8997854571,9285512479,F
496409083,680184241,721715120,689198174,FAST
11992840898,6794501138,6430723784,4214352553,FB
358159770,353259095,376182722,261133419,FBHS
2751746731,7297124410,10478573933,5271711482,FCX
477032675,440764927,426189496,375833671,FDX
883968796,847763413,1054080172,1061803052,FE
323467528,276034412,227645434,196027393,FFIV
314401688,376726213,515394876,381435438,FIS
288745928,290718602,281199209,215358389,FISV
